"Module Name","Display Name","Description","Driver Type","Start Mode","State","Status","Accept Stop","Accept Pause","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Link Date","Path","Init(bytes)"
"ACPI","Microsoft ACPI Driver","Microsoft ACPI Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-10-08 06:39:16","C:\Windows\system32\drivers\ACPI.sys","0"
"acpiex","Microsoft ACPIEx Driver","Microsoft ACPIEx Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:50","C:\Windows\system32\Drivers\acpiex.sys","0"
"acpipagr","ACPI Processor Aggregator Driver","ACPI Processor Aggregator Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:20","C:\Windows\system32\drivers\acpipagr.sys","0"
"AcpiPmi","ACPI Power Meter Driver","ACPI Power Meter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:24","C:\Windows\system32\drivers\acpipmi.sys","0"
"acpitime","ACPI Wake Alarm Driver","ACPI Wake Alarm Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:25","C:\Windows\system32\drivers\acpitime.sys","0"
"AFD","Ancillary Function Driver for Winsock","Ancillary Function Driver for Winsock","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:17","C:\Windows\system32\drivers\afd.sys","0"
"ahcache","Application Compatibility Cache","Application Compatibility Cache","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 04:36:50","C:\Windows\system32\DRIVERS\ahcache.sys","0"
"AX88772","ASIX AX88772 USB2.0 to Fast Ethernet Adapter","ASIX AX88772 USB2.0 to Fast Ethernet Adapter","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2012-06-08 23:14:42","C:\Windows\system32\DRIVERS\ax88772.sys","0"
"BasicDisplay","BasicDisplay","BasicDisplay","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:43","C:\Windows\system32\drivers\BasicDisplay.sys","0"
"BasicRender","BasicRender","BasicRender","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:33","C:\Windows\system32\drivers\BasicRender.sys","0"
"Beep","Beep","Beep","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:14:15","C:\Windows\system32\drivers\Beep.sys","0"
"bowser","Browser Support Driver","Browser Support Driver","File System ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:14","C:\Windows\system32\DRIVERS\bowser.sys","0"
"BthAvrcpTg","Bluetooth Audio/Video Remote Control HID","Bluetooth Audio/Video Remote Control HID","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:17","C:\Windows\system32\drivers\BthAvrcpTg.sys","0"
"BthEnum","Bluetooth Enumerator Service","Bluetooth Enumerator Service","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:19","C:\Windows\system32\DRIVERS\BthEnum.sys","0"
"BthHFEnum","Bluetooth Hands-Free Audio and Call Control HID Enumerator","Bluetooth Hands-Free Audio and Call Control HID Enumerator","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:12:49","C:\Windows\system32\drivers\bthhfenum.sys","0"
"bthhfhid","Bluetooth Hands-Free Call Control HID","Bluetooth Hands-Free Call Control HID","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:03","C:\Windows\system32\drivers\BthHFHid.sys","0"
"BthLEEnum","Bluetooth Low Energy Driver","Bluetooth Low Energy Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:19","C:\Windows\system32\DRIVERS\BthLEEnum.sys","0"
"BthMini","Bluetooth Radio Driver","Bluetooth Radio Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:10","C:\Windows\system32\Drivers\BTHMINI.sys","0"
